,CHFEUR=X,CHFJPY=X,CHFUSD=X,EURCHF=X,EURJPY=X,EURUSD=X,JPYCHF=X,JPYEUR=X,JPYUSD=X,USDCHF=X,USDEUR=X,USDJPY=X
CHFEUR=X,4.95149557022611,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CHFJPY=X,0.0,-0.14211960997801576,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CHFUSD=X,0.0,0.0,4.874119236255723,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
EURCHF=X,0.0,0.0,0.0,5.049095684640532,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
EURJPY=X,0.0,0.0,0.0,0.0,-0.09311811871580744,0.0,0.0,0.0,0.0,0.0,0.0,0.0
EURUSD=X,0.0,0.0,0.0,0.0,0.0,4.922794901005321,0.0,0.0,0.0,0.0,0.0,0.0
JPYCHF=X,0.0,0.0,0.0,0.0,0.0,0.0,10.142510911844578,0.0,0.0,0.0,0.0,0.0
JPYEUR=X,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.093435504742406,0.0,0.0,0.0,0.0
JPYUSD=X,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.016358856127358,0.0,0.0,0.0
USDCHF=X,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.125880726360706,0.0,0.0
USDEUR=X,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.077205061327929,0.0
USDJPY=X,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.016358832898084152
