,CHFEUR=X,CHFJPY=X,CHFUSD=X,EURCHF=X,EURJPY=X,EURUSD=X,JPYCHF=X,JPYEUR=X,JPYUSD=X,USDCHF=X,USDEUR=X,USDJPY=X
CHFEUR=X,0,1,1,0,-2,-2,0,0,0,0,0,0
CHFJPY=X,1,0,1,0,0,0,0,-2,-2,0,0,0
CHFUSD=X,1,1,0,0,0,0,0,0,0,0,-2,-2
EURCHF=X,0,-2,-2,0,1,1,0,0,0,0,0,0
EURJPY=X,0,0,0,1,0,1,-2,0,-2,0,0,0
EURUSD=X,0,0,0,1,1,0,0,0,0,-2,0,-2
JPYCHF=X,-2,0,-2,0,0,0,0,1,1,0,0,0
JPYEUR=X,0,0,0,-2,0,-2,1,0,1,0,0,0
JPYUSD=X,0,0,0,0,0,0,1,1,0,-2,-2,0
USDCHF=X,-2,-2,0,0,0,0,0,0,0,0,1,1
USDEUR=X,0,0,0,-2,-2,0,0,0,0,1,0,1
USDJPY=X,0,0,0,0,0,0,-2,-2,0,1,1,0
