,CHFEUR=X,CHFJPY=X,CHFUSD=X,EURCHF=X,EURJPY=X,EURUSD=X,JPYCHF=X,JPYEUR=X,JPYUSD=X,USDCHF=X,USDEUR=X,USDJPY=X
CHFEUR=X,4.9514002936448795,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CHFJPY=X,0.0,-0.14301933076154594,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CHFUSD=X,0.0,0.0,4.87457288538709,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
EURCHF=X,0.0,0.0,0.0,5.049085229827035,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
EURJPY=X,0.0,0.0,0.0,0.0,-0.09398944497604589,0.0,0.0,0.0,0.0,0.0,0.0,0.0
EURUSD=X,0.0,0.0,0.0,0.0,0.0,4.923226912178546,0.0,0.0,0.0,0.0,0.0,0.0
JPYCHF=X,0.0,0.0,0.0,0.0,0.0,0.0,10.143024522354725,0.0,0.0,0.0,0.0,0.0
JPYEUR=X,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.094054944317802,0.0,0.0,0.0,0.0
JPYUSD=X,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.017670513066392,0.0,0.0,0.0
USDCHF=X,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.1254271628022465,0.0,0.0
USDEUR=X,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.076773041917609,0.0
USDJPY=X,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.01767052695780702
