,CHFEUR=X,CHFJPY=X,CHFUSD=X,EURCHF=X,EURJPY=X,EURUSD=X,JPYCHF=X,JPYEUR=X,JPYUSD=X,USDCHF=X,USDEUR=X,USDJPY=X
CHFEUR=X,4.951305026140411,1.0,1.0,0.0,-2.0,-2.0,-2.0,1.0,0.0,-2.0,1.0,0.0
CHFJPY=X,1.0,-0.14327629613732107,1.0,-2.0,1.0,0.0,0.0,-2.0,-2.0,-2.0,0.0,1.0
CHFUSD=X,1.0,1.0,4.874527458635878,-2.0,0.0,1.0,-2.0,0.0,1.0,0.0,-2.0,-2.0
EURCHF=X,0.0,-2.0,-2.0,5.049211258304566,1.0,1.0,1.0,-2.0,0.0,1.0,-2.0,0.0
EURJPY=X,-2.0,1.0,0.0,1.0,-0.09419794133438497,1.0,-2.0,0.0,-2.0,0.0,-2.0,1.0
EURUSD=X,-2.0,0.0,1.0,1.0,1.0,4.923442877349371,0.0,-2.0,1.0,-2.0,0.0,-2.0
JPYCHF=X,-2.0,0.0,-2.0,1.0,-2.0,0.0,10.143366969621471,1.0,1.0,1.0,0.0,-2.0
JPYEUR=X,1.0,-2.0,0.0,-2.0,0.0,-2.0,1.0,10.09416906749373,1.0,0.0,1.0,-2.0
JPYUSD=X,0.0,-2.0,1.0,0.0,-2.0,1.0,1.0,1.0,10.017922018521318,-2.0,-2.0,0.0
USDCHF=X,-2.0,-2.0,0.0,1.0,0.0,-2.0,1.0,0.0,-2.0,5.125472503144533,1.0,1.0
USDEUR=X,1.0,0.0,-2.0,-2.0,-2.0,0.0,0.0,1.0,-2.0,1.0,5.076557134356096,1.0
USDJPY=X,0.0,1.0,-2.0,0.0,1.0,-2.0,-2.0,-2.0,0.0,1.0,1.0,-0.017922015488427867
