,CHFEUR=X,CHFGBP=X,CHFJPY=X,CHFUSD=X,EURCHF=X,EURGBP=X,EURJPY=X,EURUSD=X,GBPCHF=X,GBPEUR=X,GBPJPY=X,GBPUSD=X,JPYCHF=X,JPYEUR=X,JPYGBP=X,JPYUSD=X,USDCHF=X,USDEUR=X,USDGBP=X,USDJPY=X
CHFEUR=X,4.9545487680802465,1.0,1.0,1.0,0.0,-2.0,-2.0,-2.0,-2.0,1.0,0.0,0.0,-2.0,1.0,0.0,0.0,-2.0,1.0,0.0,0.0
CHFGBP=X,1.0,5.132731715938894,1.0,1.0,-2.0,1.0,0.0,0.0,0.0,-2.0,-2.0,-2.0,-2.0,0.0,1.0,0.0,-2.0,0.0,1.0,0.0
CHFJPY=X,1.0,1.0,-0.13352525776475144,1.0,-2.0,0.0,1.0,0.0,-2.0,0.0,1.0,0.0,0.0,-2.0,-2.0,-2.0,-2.0,0.0,0.0,1.0
CHFUSD=X,1.0,1.0,1.0,4.875739755993921,-2.0,0.0,0.0,1.0,-2.0,0.0,0.0,1.0,-2.0,0.0,0.0,1.0,0.0,-2.0,-2.0,-2.0
EURCHF=X,0.0,-2.0,-2.0,-2.0,5.045865969252382,1.0,1.0,1.0,1.0,-2.0,0.0,0.0,1.0,-2.0,0.0,0.0,1.0,-2.0,0.0,0.0
EURGBP=X,-2.0,1.0,0.0,0.0,1.0,5.178038729942951,1.0,1.0,-2.0,0.0,-2.0,-2.0,0.0,-2.0,1.0,0.0,0.0,-2.0,1.0,0.0
EURJPY=X,-2.0,0.0,1.0,0.0,1.0,1.0,-0.08775682220898418,1.0,0.0,-2.0,1.0,0.0,-2.0,0.0,-2.0,-2.0,0.0,-2.0,0.0,1.0
EURUSD=X,-2.0,0.0,0.0,1.0,1.0,1.0,1.0,4.921497781977832,0.0,-2.0,0.0,1.0,0.0,-2.0,0.0,1.0,-2.0,0.0,-2.0,-2.0
GBPCHF=X,-2.0,0.0,-2.0,-2.0,1.0,-2.0,0.0,0.0,4.867867060355429,1.0,1.0,1.0,1.0,0.0,-2.0,0.0,1.0,0.0,-2.0,0.0
GBPEUR=X,1.0,-2.0,0.0,0.0,-2.0,0.0,-2.0,-2.0,1.0,4.822130035247856,1.0,1.0,0.0,1.0,-2.0,0.0,0.0,1.0,-2.0,0.0
GBPJPY=X,0.0,-2.0,1.0,0.0,0.0,-2.0,1.0,0.0,1.0,1.0,-0.26572185061121445,1.0,-2.0,-2.0,0.0,-2.0,0.0,0.0,-2.0,1.0
GBPUSD=X,0.0,-2.0,0.0,1.0,0.0,-2.0,0.0,1.0,1.0,1.0,1.0,4.743571084128858,0.0,0.0,-2.0,1.0,-2.0,-2.0,0.0,-2.0
JPYCHF=X,-2.0,-2.0,0.0,-2.0,1.0,0.0,-2.0,0.0,1.0,0.0,-2.0,0.0,10.13365075328388,1.0,1.0,1.0,1.0,0.0,0.0,-2.0
JPYEUR=X,1.0,0.0,-2.0,0.0,-2.0,-2.0,0.0,-2.0,0.0,1.0,-2.0,0.0,1.0,10.087845829487009,1.0,1.0,0.0,1.0,0.0,-2.0
JPYGBP=X,0.0,1.0,-2.0,0.0,0.0,1.0,-2.0,0.0,-2.0,-2.0,0.0,-2.0,1.0,1.0,10.266818665527891,1.0,0.0,0.0,1.0,-2.0
JPYUSD=X,0.0,0.0,-2.0,1.0,0.0,0.0,-2.0,1.0,0.0,0.0,-2.0,1.0,1.0,1.0,1.0,10.009421190038248,-2.0,-2.0,-2.0,0.0
USDCHF=X,-2.0,-2.0,-2.0,0.0,1.0,0.0,0.0,-2.0,1.0,0.0,0.0,-2.0,1.0,0.0,0.0,-2.0,5.12426023832988,1.0,1.0,1.0
USDEUR=X,1.0,0.0,0.0,-2.0,-2.0,-2.0,-2.0,0.0,0.0,1.0,0.0,-2.0,0.0,1.0,0.0,-2.0,1.0,5.0785022405336395,1.0,1.0
USDGBP=X,0.0,1.0,0.0,-2.0,0.0,1.0,0.0,-2.0,-2.0,-2.0,-2.0,0.0,0.0,0.0,1.0,-2.0,1.0,1.0,5.256428876047781,1.0
USDJPY=X,0.0,0.0,1.0,-2.0,0.0,0.0,1.0,-2.0,0.0,0.0,1.0,-2.0,-2.0,-2.0,-2.0,0.0,1.0,1.0,1.0,-0.009421178449796841
