,AUDCHF=X,AUDEUR=X,AUDGBP=X,AUDJPY=X,AUDUSD=X,CHFAUD=X,CHFEUR=X,CHFGBP=X,CHFJPY=X,CHFUSD=X,EURAUD=X,EURCHF=X,EURGBP=X,EURJPY=X,EURUSD=X,GBPAUD=X,GBPCHF=X,GBPEUR=X,GBPJPY=X,GBPUSD=X,JPYAUD=X,JPYCHF=X,JPYEUR=X,JPYGBP=X,JPYUSD=X,USDAUD=X,USDCHF=X,USDEUR=X,USDGBP=X,USDJPY=X
AUDCHF=X,5.675484094717291,1.0,1.0,1.0,1.0,0.0,-2.0,-2.0,-2.0,-2.0,-2.0,1.0,0.0,0.0,0.0,-2.0,1.0,0.0,0.0,0.0,-2.0,1.0,0.0,0.0,0.0,-2.0,1.0,0.0,0.0,0.0
AUDEUR=X,1.0,5.601480032060599,1.0,1.0,1.0,-2.0,1.0,0.0,0.0,0.0,0.0,-2.0,-2.0,-2.0,-2.0,-2.0,0.0,1.0,0.0,0.0,-2.0,0.0,1.0,0.0,0.0,-2.0,0.0,1.0,0.0,0.0
AUDGBP=X,1.0,1.0,5.742757665178621,1.0,1.0,-2.0,0.0,1.0,0.0,0.0,-2.0,0.0,1.0,0.0,0.0,0.0,-2.0,-2.0,-2.0,-2.0,-2.0,0.0,0.0,1.0,0.0,-2.0,0.0,0.0,1.0,0.0
AUDJPY=X,1.0,1.0,1.0,0.511464789154437,1.0,-2.0,0.0,0.0,1.0,0.0,-2.0,0.0,0.0,1.0,0.0,-2.0,0.0,0.0,1.0,0.0,0.0,-2.0,-2.0,-2.0,-2.0,-2.0,0.0,0.0,0.0,1.0
AUDUSD=X,1.0,1.0,1.0,1.0,5.473933421769148,-2.0,0.0,0.0,0.0,1.0,-2.0,0.0,0.0,0.0,1.0,-2.0,0.0,0.0,0.0,1.0,-2.0,0.0,0.0,0.0,1.0,0.0,-2.0,-2.0,-2.0,-2.0
CHFAUD=X,0.0,-2.0,-2.0,-2.0,-2.0,4.325067723108871,1.0,1.0,1.0,1.0,1.0,-2.0,0.0,0.0,0.0,1.0,-2.0,0.0,0.0,0.0,1.0,-2.0,0.0,0.0,0.0,1.0,-2.0,0.0,0.0,0.0
CHFEUR=X,-2.0,1.0,0.0,0.0,0.0,1.0,4.9265636741287,1.0,1.0,1.0,-2.0,0.0,-2.0,-2.0,-2.0,0.0,-2.0,1.0,0.0,0.0,0.0,-2.0,1.0,0.0,0.0,0.0,-2.0,1.0,0.0,0.0
CHFGBP=X,-2.0,0.0,1.0,0.0,0.0,1.0,1.0,5.0669948945220895,1.0,1.0,0.0,-2.0,1.0,0.0,0.0,-2.0,0.0,-2.0,-2.0,-2.0,0.0,-2.0,0.0,1.0,0.0,0.0,-2.0,0.0,1.0,0.0
CHFJPY=X,-2.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,-0.1639456027744135,1.0,0.0,-2.0,0.0,1.0,0.0,0.0,-2.0,0.0,1.0,0.0,-2.0,0.0,-2.0,-2.0,-2.0,0.0,-2.0,0.0,0.0,1.0
CHFUSD=X,-2.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,4.79878921558632,0.0,-2.0,0.0,0.0,1.0,0.0,-2.0,0.0,0.0,1.0,0.0,-2.0,0.0,0.0,1.0,-2.0,0.0,-2.0,-2.0,-2.0
EURAUD=X,-2.0,0.0,-2.0,-2.0,-2.0,1.0,-2.0,0.0,0.0,0.0,4.398617273171144,1.0,1.0,1.0,1.0,1.0,0.0,-2.0,0.0,0.0,1.0,0.0,-2.0,0.0,0.0,1.0,0.0,-2.0,0.0,0.0
EURCHF=X,1.0,-2.0,0.0,0.0,0.0,-2.0,0.0,-2.0,-2.0,-2.0,1.0,5.07395876993419,1.0,1.0,1.0,0.0,1.0,-2.0,0.0,0.0,0.0,1.0,-2.0,0.0,0.0,0.0,1.0,-2.0,0.0,0.0
EURGBP=X,0.0,-2.0,1.0,0.0,0.0,0.0,-2.0,1.0,0.0,0.0,1.0,1.0,5.140619296440027,1.0,1.0,-2.0,-2.0,0.0,-2.0,-2.0,0.0,0.0,-2.0,1.0,0.0,0.0,0.0,-2.0,1.0,0.0
EURJPY=X,0.0,-2.0,0.0,1.0,0.0,0.0,-2.0,0.0,1.0,0.0,1.0,1.0,1.0,-0.0900500815621843,1.0,0.0,0.0,-2.0,1.0,0.0,-2.0,-2.0,0.0,-2.0,-2.0,0.0,0.0,-2.0,0.0,1.0
EURUSD=X,0.0,-2.0,0.0,0.0,1.0,0.0,-2.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,4.8726210812559545,0.0,0.0,-2.0,0.0,1.0,0.0,0.0,-2.0,0.0,1.0,-2.0,-2.0,0.0,-2.0,-2.0
GBPAUD=X,-2.0,-2.0,0.0,-2.0,-2.0,1.0,0.0,-2.0,0.0,0.0,1.0,0.0,-2.0,0.0,0.0,4.258105503413235,1.0,1.0,1.0,1.0,1.0,0.0,0.0,-2.0,0.0,1.0,0.0,0.0,-2.0,0.0
GBPCHF=X,1.0,0.0,-2.0,0.0,0.0,-2.0,-2.0,0.0,-2.0,-2.0,0.0,1.0,-2.0,0.0,0.0,1.0,4.933500867035217,1.0,1.0,1.0,0.0,1.0,0.0,-2.0,0.0,0.0,1.0,0.0,-2.0,0.0
GBPEUR=X,0.0,1.0,-2.0,0.0,0.0,0.0,1.0,-2.0,0.0,0.0,-2.0,-2.0,0.0,-2.0,-2.0,1.0,1.0,4.859977199529585,1.0,1.0,0.0,0.0,1.0,-2.0,0.0,0.0,0.0,1.0,-2.0,0.0
GBPJPY=X,0.0,0.0,-2.0,1.0,0.0,0.0,0.0,-2.0,1.0,0.0,0.0,0.0,-2.0,1.0,0.0,1.0,1.0,1.0,-0.2305736818049322,1.0,-2.0,-2.0,-2.0,0.0,-2.0,0.0,0.0,0.0,-2.0,1.0
GBPUSD=X,0.0,0.0,-2.0,0.0,1.0,0.0,0.0,-2.0,0.0,1.0,0.0,0.0,-2.0,0.0,1.0,1.0,1.0,1.0,1.0,4.732499601945854,0.0,0.0,0.0,-2.0,1.0,-2.0,-2.0,-2.0,0.0,-2.0
JPYAUD=X,-2.0,-2.0,-2.0,0.0,-2.0,1.0,0.0,0.0,-2.0,0.0,1.0,0.0,0.0,-2.0,0.0,1.0,0.0,0.0,-2.0,0.0,9.48898844555974,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,-2.0
JPYCHF=X,1.0,0.0,0.0,-2.0,0.0,-2.0,-2.0,-2.0,0.0,-2.0,0.0,1.0,0.0,-2.0,0.0,0.0,1.0,0.0,-2.0,0.0,1.0,10.164660985672512,1.0,1.0,1.0,0.0,1.0,0.0,0.0,-2.0
JPYEUR=X,0.0,1.0,0.0,-2.0,0.0,0.0,1.0,0.0,-2.0,0.0,-2.0,-2.0,-2.0,0.0,-2.0,0.0,0.0,1.0,-2.0,0.0,1.0,1.0,10.089938222341914,1.0,1.0,0.0,0.0,1.0,0.0,-2.0
JPYGBP=X,0.0,0.0,1.0,-2.0,0.0,0.0,0.0,1.0,-2.0,0.0,0.0,0.0,1.0,-2.0,0.0,-2.0,-2.0,-2.0,0.0,-2.0,1.0,1.0,1.0,10.231219628750832,1.0,0.0,0.0,0.0,1.0,-2.0
JPYUSD=X,0.0,0.0,0.0,-2.0,1.0,0.0,0.0,0.0,-2.0,1.0,0.0,0.0,0.0,-2.0,1.0,0.0,0.0,0.0,-2.0,1.0,1.0,1.0,1.0,1.0,9.96280269088988,-2.0,-2.0,-2.0,-2.0,0.0
USDAUD=X,-2.0,-2.0,-2.0,-2.0,0.0,1.0,0.0,0.0,0.0,-2.0,1.0,0.0,0.0,0.0,-2.0,1.0,0.0,0.0,0.0,-2.0,1.0,0.0,0.0,0.0,-2.0,4.52606660467451,1.0,1.0,1.0,1.0
USDCHF=X,1.0,0.0,0.0,0.0,-2.0,-2.0,-2.0,-2.0,-2.0,0.0,0.0,1.0,0.0,0.0,-2.0,0.0,1.0,0.0,0.0,-2.0,0.0,1.0,0.0,0.0,-2.0,1.0,5.20121081302188,1.0,1.0,1.0
USDEUR=X,0.0,1.0,0.0,0.0,-2.0,0.0,1.0,0.0,0.0,-2.0,-2.0,-2.0,-2.0,-2.0,0.0,0.0,0.0,1.0,0.0,-2.0,0.0,0.0,1.0,0.0,-2.0,1.0,1.0,5.127378927055051,1.0,1.0
USDGBP=X,0.0,0.0,1.0,0.0,-2.0,0.0,0.0,1.0,0.0,-2.0,0.0,0.0,1.0,0.0,-2.0,-2.0,-2.0,-2.0,-2.0,0.0,0.0,0.0,0.0,1.0,-2.0,1.0,1.0,1.0,5.267500403410985,1.0
USDJPY=X,0.0,0.0,0.0,1.0,-2.0,0.0,0.0,0.0,1.0,-2.0,0.0,0.0,0.0,1.0,-2.0,0.0,0.0,0.0,1.0,-2.0,-2.0,-2.0,-2.0,-2.0,0.0,1.0,1.0,1.0,1.0,0.0371973056131063
