,CHFEUR=X,CHFJPY=X,CHFUSD=X,EURCHF=X,EURJPY=X,EURUSD=X,JPYCHF=X,JPYEUR=X,JPYUSD=X,USDCHF=X,USDEUR=X,USDJPY=X
CHFEUR=X,4.923687274561101,1.0,1.0,0.0,-2.0,-2.0,-2.0,1.0,0.0,-2.0,1.0,0.0
CHFJPY=X,1.0,-0.16724580181249848,1.0,-2.0,1.0,0.0,0.0,-2.0,-2.0,-2.0,0.0,1.0
CHFUSD=X,1.0,1.0,4.7958498694050675,-2.0,0.0,1.0,-2.0,0.0,1.0,0.0,-2.0,-2.0
EURCHF=X,0.0,-2.0,-2.0,5.077907467020522,1.0,1.0,1.0,-2.0,0.0,1.0,-2.0,0.0
EURJPY=X,-2.0,1.0,0.0,1.0,-0.0895943694797463,1.0,-2.0,0.0,-2.0,0.0,-2.0,1.0
EURUSD=X,-2.0,0.0,1.0,1.0,1.0,4.874776910594797,0.0,-2.0,1.0,-2.0,0.0,-2.0
JPYCHF=X,-2.0,0.0,-2.0,1.0,-2.0,0.0,10.16641223133583,1.0,1.0,1.0,0.0,-2.0
JPYEUR=X,1.0,-2.0,0.0,-2.0,0.0,-2.0,1.0,10.088883358682974,1.0,0.0,1.0,-2.0
JPYUSD=X,0.0,-2.0,1.0,0.0,-2.0,1.0,1.0,1.0,9.963410879608979,-2.0,-2.0,0.0
USDCHF=X,-2.0,-2.0,0.0,1.0,0.0,-2.0,1.0,0.0,-2.0,5.204150096273325,1.0,1.0
USDEUR=X,1.0,0.0,-2.0,-2.0,-2.0,0.0,0.0,1.0,-2.0,1.0,5.1252231229199845,1.0
USDJPY=X,0.0,1.0,-2.0,0.0,1.0,-2.0,-2.0,-2.0,0.0,1.0,1.0,0.036589140900674444
