,CHFEUR=X,CHFJPY=X,CHFUSD=X,EURCHF=X,EURJPY=X,EURUSD=X,JPYCHF=X,JPYEUR=X,JPYUSD=X,USDCHF=X,USDEUR=X,USDJPY=X
CHFEUR=X,4.921743467993334,1.0,1.0,0.0,-2.0,-2.0,-2.0,1.0,0.0,-2.0,1.0,0.0
CHFJPY=X,1.0,-0.16479739615180655,1.0,-2.0,1.0,0.0,0.0,-2.0,-2.0,-2.0,0.0,1.0
CHFUSD=X,1.0,1.0,4.801707603124873,-2.0,0.0,1.0,-2.0,0.0,1.0,0.0,-2.0,-2.0
EURCHF=X,0.0,-2.0,-2.0,5.078902500220914,1.0,1.0,1.0,-2.0,0.0,1.0,-2.0,0.0
EURJPY=X,-2.0,1.0,0.0,1.0,-0.08594061113488038,1.0,-2.0,0.0,-2.0,0.0,-2.0,1.0
EURUSD=X,-2.0,0.0,1.0,1.0,1.0,4.880427883229307,0.0,-2.0,1.0,-2.0,0.0,-2.0
JPYCHF=X,-2.0,0.0,-2.0,1.0,-2.0,0.0,10.165886551857316,1.0,1.0,1.0,0.0,-2.0
JPYEUR=X,1.0,-2.0,0.0,-2.0,0.0,-2.0,1.0,10.0863561563571,1.0,0.0,1.0,-2.0
JPYUSD=X,0.0,-2.0,1.0,0.0,-2.0,1.0,1.0,1.0,9.966613712935363,-2.0,-2.0,0.0
USDCHF=X,-2.0,-2.0,0.0,1.0,0.0,-2.0,1.0,0.0,-2.0,5.19829242619286,1.0,1.0
USDEUR=X,1.0,0.0,-2.0,-2.0,-2.0,0.0,0.0,1.0,-2.0,1.0,5.119572118803812,1.0
USDJPY=X,0.0,1.0,-2.0,0.0,1.0,-2.0,-2.0,-2.0,0.0,1.0,1.0,0.03338630477156812
