,CHFEUR=X,CHFJPY=X,CHFUSD=X,EURCHF=X,EURJPY=X,EURUSD=X,JPYCHF=X,JPYEUR=X,JPYUSD=X,USDCHF=X,USDEUR=X,USDJPY=X
CHFEUR=X,4.921558619190475,1.0,1.0,0.0,-2.0,-2.0,-2.0,1.0,0.0,-2.0,1.0,0.0
CHFJPY=X,1.0,-0.16462596181980516,1.0,-2.0,1.0,0.0,0.0,-2.0,-2.0,-2.0,0.0,1.0
CHFUSD=X,1.0,1.0,4.8051037315080025,-2.0,0.0,1.0,-2.0,0.0,1.0,0.0,-2.0,-2.0
EURCHF=X,0.0,-2.0,-2.0,5.079054017772035,1.0,1.0,1.0,-2.0,0.0,1.0,-2.0,0.0
EURJPY=X,-2.0,1.0,0.0,1.0,-0.08570566165312687,1.0,-2.0,0.0,-2.0,0.0,-2.0,1.0
EURUSD=X,-2.0,0.0,1.0,1.0,1.0,4.8839155225050765,0.0,-2.0,1.0,-2.0,0.0,-2.0
JPYCHF=X,-2.0,0.0,-2.0,1.0,-2.0,0.0,10.166237082948962,1.0,1.0,1.0,0.0,-2.0
JPYEUR=X,1.0,-2.0,0.0,-2.0,0.0,-2.0,1.0,10.08642087863057,1.0,0.0,1.0,-2.0
JPYUSD=X,0.0,-2.0,1.0,0.0,-2.0,1.0,1.0,1.0,9.969882696691608,-2.0,-2.0,0.0
USDCHF=X,-2.0,-2.0,0.0,1.0,0.0,-2.0,1.0,0.0,-2.0,5.194896258731684,1.0,1.0
USDEUR=X,1.0,0.0,-2.0,-2.0,-2.0,0.0,0.0,1.0,-2.0,1.0,5.1160844874821985,1.0
USDJPY=X,0.0,1.0,-2.0,0.0,1.0,-2.0,-2.0,-2.0,0.0,1.0,1.0,0.03011729653503359
