,AUDCAD=X,AUDCHF=X,AUDEUR=X,AUDGBP=X,AUDJPY=X,AUDUSD=X,CADAUD=X,CADCHF=X,CADEUR=X,CADGBP=X,CADJPY=X,CADUSD=X,CHFAUD=X,CHFCAD=X,CHFEUR=X,CHFGBP=X,CHFJPY=X,CHFUSD=X,EURAUD=X,EURCAD=X,EURCHF=X,EURGBP=X,EURJPY=X,EURUSD=X,GBPAUD=X,GBPCAD=X,GBPCHF=X,GBPEUR=X,GBPJPY=X,GBPUSD=X,JPYAUD=X,JPYCAD=X,JPYCHF=X,JPYEUR=X,JPYGBP=X,JPYUSD=X,USDAUD=X,USDCAD=X,USDCHF=X,USDEUR=X,USDGBP=X,USDJPY=X
AUDCAD=X,5.141125860441448,1.0,1.0,1.0,1.0,1.0,0.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,1.0,0.0,0.0,0.0,0.0,-2.0,1.0,0.0,0.0,0.0,0.0,-2.0,1.0,0.0,0.0,0.0,0.0,-2.0,1.0,0.0,0.0,0.0,0.0,-2.0,1.0,0.0,0.0,0.0,0.0
AUDCHF=X,1.0,5.671972969978041,1.0,1.0,1.0,1.0,-2.0,1.0,0.0,0.0,0.0,0.0,0.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,0.0,1.0,0.0,0.0,0.0,-2.0,0.0,1.0,0.0,0.0,0.0,-2.0,0.0,1.0,0.0,0.0,0.0,-2.0,0.0,1.0,0.0,0.0,0.0
AUDEUR=X,1.0,1.0,5.59598412528648,1.0,1.0,1.0,-2.0,0.0,1.0,0.0,0.0,0.0,-2.0,0.0,1.0,0.0,0.0,0.0,0.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,0.0,0.0,1.0,0.0,0.0,-2.0,0.0,0.0,1.0,0.0,0.0,-2.0,0.0,0.0,1.0,0.0,0.0
AUDGBP=X,1.0,1.0,1.0,5.737266293465584,1.0,1.0,-2.0,0.0,0.0,1.0,0.0,0.0,-2.0,0.0,0.0,1.0,0.0,0.0,-2.0,0.0,0.0,1.0,0.0,0.0,0.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,0.0,0.0,0.0,1.0,0.0,-2.0,0.0,0.0,0.0,1.0,0.0
AUDJPY=X,1.0,1.0,1.0,1.0,0.5067562480696175,1.0,-2.0,0.0,0.0,0.0,1.0,0.0,-2.0,0.0,0.0,0.0,1.0,0.0,-2.0,0.0,0.0,0.0,1.0,0.0,-2.0,0.0,0.0,0.0,1.0,0.0,0.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,0.0,0.0,0.0,0.0,1.0
AUDUSD=X,1.0,1.0,1.0,1.0,1.0,5.473385443586695,-2.0,0.0,0.0,0.0,0.0,1.0,-2.0,0.0,0.0,0.0,0.0,1.0,-2.0,0.0,0.0,0.0,0.0,1.0,-2.0,0.0,0.0,0.0,0.0,1.0,-2.0,0.0,0.0,0.0,0.0,1.0,0.0,-2.0,-2.0,-2.0,-2.0,-2.0
CADAUD=X,0.0,-2.0,-2.0,-2.0,-2.0,-2.0,4.859716492348485,1.0,1.0,1.0,1.0,1.0,1.0,-2.0,0.0,0.0,0.0,0.0,1.0,-2.0,0.0,0.0,0.0,0.0,1.0,-2.0,0.0,0.0,0.0,0.0,1.0,-2.0,0.0,0.0,0.0,0.0,1.0,-2.0,0.0,0.0,0.0,0.0
CADCHF=X,-2.0,1.0,0.0,0.0,0.0,0.0,1.0,5.531096352433443,1.0,1.0,1.0,1.0,-2.0,0.0,-2.0,-2.0,-2.0,-2.0,0.0,-2.0,1.0,0.0,0.0,0.0,0.0,-2.0,1.0,0.0,0.0,0.0,0.0,-2.0,1.0,0.0,0.0,0.0,0.0,-2.0,1.0,0.0,0.0,0.0
CADEUR=X,-2.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,5.455233260566131,1.0,1.0,1.0,0.0,-2.0,1.0,0.0,0.0,0.0,-2.0,0.0,-2.0,-2.0,-2.0,-2.0,0.0,-2.0,0.0,1.0,0.0,0.0,0.0,-2.0,0.0,1.0,0.0,0.0,0.0,-2.0,0.0,1.0,0.0,0.0
CADGBP=X,-2.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,5.596746700303347,1.0,1.0,0.0,-2.0,0.0,1.0,0.0,0.0,0.0,-2.0,0.0,1.0,0.0,0.0,-2.0,0.0,-2.0,-2.0,-2.0,-2.0,0.0,-2.0,0.0,0.0,1.0,0.0,0.0,-2.0,0.0,0.0,1.0,0.0
CADJPY=X,-2.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,0.3658051379357472,1.0,0.0,-2.0,0.0,0.0,1.0,0.0,0.0,-2.0,0.0,0.0,1.0,0.0,0.0,-2.0,0.0,0.0,1.0,0.0,-2.0,0.0,-2.0,-2.0,-2.0,-2.0,0.0,-2.0,0.0,0.0,0.0,1.0
CADUSD=X,-2.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,5.332722407188444,0.0,-2.0,0.0,0.0,0.0,1.0,0.0,-2.0,0.0,0.0,0.0,1.0,0.0,-2.0,0.0,0.0,0.0,1.0,0.0,-2.0,0.0,0.0,0.0,1.0,-2.0,0.0,-2.0,-2.0,-2.0,-2.0
CHFAUD=X,-2.0,0.0,-2.0,-2.0,-2.0,-2.0,1.0,-2.0,0.0,0.0,0.0,0.0,4.328965530318609,1.0,1.0,1.0,1.0,1.0,1.0,0.0,-2.0,0.0,0.0,0.0,1.0,0.0,-2.0,0.0,0.0,0.0,1.0,0.0,-2.0,0.0,0.0,0.0,1.0,0.0,-2.0,0.0,0.0,0.0
